date,close,high,low,open,volume,tic,day
2015-09-23,163.11265563964844,164.01414965722748,162.53131200810208,163.54233826231925,92790600,SPY,2
2015-09-24,162.52291870117188,162.98630959849973,160.5514150898855,161.89102552915193,159378800,SPY,3
2015-09-25,162.48081970214844,164.29224184163175,161.60458721302194,163.98893257322655,155054800,SPY,4
2015-09-28,158.40298461914062,161.68883701149747,158.0912547506794,161.57930474164885,178515900,SPY,0
2015-09-29,158.4956512451172,159.86054921571466,157.49304537211324,158.62203759093322,159045600,SPY,1
2015-09-30,161.452880859375,161.62138309093592,159.60775121242682,160.3912923743384,163452000,SPY,2
2015-10-01,161.8742218017578,162.17753110883018,159.9279924380028,161.83209300935007,131079000,SPY,3
2015-10-02,164.29220581054688,164.31748050604588,159.33815979837223,159.8858081979462,211003300,SPY,4
2015-10-05,167.2157745361328,167.4432596637084,165.412773310527,165.5223055674891,126320800,SPY,0
2015-10-06,166.642822265625,167.64542791844002,165.97723393840553,167.080938360951,110274500,SPY,1
2015-10-07,168.00772094726562,168.36157949934756,166.38164287423808,167.57802546153314,124307300,SPY,2
2015-10-08,169.5242919921875,169.8107471213442,167.3168699496485,167.6201791616669,153055200,SPY,3
2015-10-09,169.6254119873047,170.10564413377404,168.99351878791342,169.66754077177745,107069200,SPY,4
2015-10-12,169.7854766845703,169.9876742603897,169.27153641953146,169.7012191240464,56395600,SPY,0
2015-10-13,168.7154083251953,170.3246320343359,168.54690611902066,169.0524127375446,88038700,SPY,1
2015-10-14,167.90663146972656,169.23782116366917,167.61175573204258,168.65647744574315,99106200,SPY,2
2015-10-15,170.4847412109375,170.49316182304554,168.20149545181854,168.57220807891355,134142200,SPY,3
2015-10-16,171.25987243652344,171.27671366178848,170.12245979217326,170.88915978633827,114580100,SPY,4
2015-10-19,171.3441162109375,171.3441162109375,170.29939459063777,170.6111243830308,76523900,SPY,0
2015-10-20,171.1250762939453,171.7401153082429,170.6532648388185,170.90602464860729,78448500,SPY,1
2015-10-21,170.06349182128906,171.6979777484048,169.89497671945065,171.546329583827,102038000,SPY,2
2015-10-22,172.93655395507812,173.14718505536948,170.06355551758983,171.01559934889326,174911700,SPY,3
2015-10-23,174.83218383789062,175.20289652528615,173.8127368034514,174.6131321843835,144442300,SPY,4
2015-10-26,174.40248107910156,174.71421086859263,174.03176843435705,174.65524086923617,69033000,SPY,0
2015-10-27,174.06553649902344,174.40254109791488,173.38308097403095,173.72851904423058,77905800,SPY,1
2015-10-28,176.04537963867188,176.07065432911048,173.736872205976,174.40246048068508,135906700,SPY,2
2015-10-29,175.9442901611328,176.31500278165475,175.4219293899771,175.53988223687986,90525500,SPY,3
2015-10-30,175.18601989746094,176.4582394432896,175.0259511265928,176.13807618975972,131076900,SPY,4
2015-11-02,177.2587127685547,177.4524897861131,175.38830752178413,175.51469389872412,86270800,SPY,0
2015-11-03,177.77261352539062,178.32868260572008,176.67732944907797,176.90481459210358,95246100,SPY,1
2015-11-04,177.23338317871094,178.19386020886319,176.6941682294307,178.06748672696096,96224500,SPY,2
2015-11-05,177.05642700195312,177.75572351815484,176.1633535505789,177.29233271152756,78408700,SPY,3
2015-11-06,176.96376037597656,177.1996789568263,175.63258358056132,176.71101342488367,110471500,SPY,4
2015-11-09,175.31243896484375,176.50040118504046,174.36038249471315,176.34874014234128,131008700,SPY,0
2015-11-10,175.7168426513672,175.75055081820187,174.56258862730706,174.83218968249022,75874600,SPY,1
